2023-07-27 00:08:12,576 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-AdminTaskTimer] c.m.v.r.BasicResourcePool [Slf4jMLog.java:204] - Refurbishing idle resources - Thu Jul 27 00:08:12 CEST 2023 [com.mchange.v2.resourcepool.BasicResourcePool@66b5d7fe]
2023-07-27 00:08:12,583 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@108bd662] on IDLE CHECK.
2023-07-27 00:08:12,583 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@3a55fb1a] on IDLE CHECK.
2023-07-27 00:08:12,583 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@86f1317] on IDLE CHECK.
2023-07-27 00:08:12,583 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@108bd662] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:08:12,584 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@3a55fb1a] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:08:12,584 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@86f1317] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:08:12,584 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@19508326] on IDLE CHECK.
2023-07-27 00:08:12,584 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@1163a2d2] on IDLE CHECK.
2023-07-27 00:08:12,584 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@19508326] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:08:12,584 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154lpx4hmab3t|79106ee0]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@1163a2d2] on IDLE CHECK has SUCCEEDED.
