2023-07-27 00:18:33,793 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-AdminTaskTimer] c.m.v.r.BasicResourcePool [Slf4jMLog.java:204] - Refurbishing idle resources - Thu Jul 27 00:18:33 CEST 2023 [com.mchange.v2.resourcepool.BasicResourcePool@7f1bf11d]
2023-07-27 00:18:33,797 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@623c43d5] on IDLE CHECK.
2023-07-27 00:18:33,797 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@2c053cdf] on IDLE CHECK.
2023-07-27 00:18:33,797 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@1de55646] on IDLE CHECK.
2023-07-27 00:18:33,797 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@623c43d5] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:18:33,802 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@2c053cdf] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:18:33,802 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@25151bea] on IDLE CHECK.
2023-07-27 00:18:33,802 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@1de55646] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:18:33,802 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@381f2482] on IDLE CHECK.
2023-07-27 00:18:33,802 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@25151bea] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:18:33,802 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax154z1719fcs6g|37af365e]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@381f2482] on IDLE CHECK has SUCCEEDED.
