2023-07-27 00:31:10,975 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-AdminTaskTimer] c.m.v.r.BasicResourcePool [Slf4jMLog.java:204] - Refurbishing idle resources - Thu Jul 27 00:30:18 CEST 2023 [com.mchange.v2.resourcepool.BasicResourcePool@2d324a0c]
2023-07-27 00:31:10,978 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@5021485] on IDLE CHECK.
2023-07-27 00:31:10,978 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@21e90b3b] on IDLE CHECK.
2023-07-27 00:31:10,978 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@1b09c60a] on IDLE CHECK.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@21e90b3b] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@5021485] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@1b09c60a] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@5fbee5a8] on IDLE CHECK.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@48576fcd] on IDLE CHECK.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@5fbee5a8] on IDLE CHECK has SUCCEEDED.
2023-07-27 00:31:10,979 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax155e1w918qg4xa|24976468]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@48576fcd] on IDLE CHECK has SUCCEEDED.
