2023-07-27 11:23:09,060 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-AdminTaskTimer] c.m.v.r.BasicResourcePool [Slf4jMLog.java:204] - Refurbishing idle resources - Thu Jul 27 11:23:09 CEST 2023 [com.mchange.v2.resourcepool.BasicResourcePool@411224c9]
2023-07-27 11:23:09,072 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@43e7778d] on IDLE CHECK.
2023-07-27 11:23:09,072 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@267c61ad] on IDLE CHECK.
2023-07-27 11:23:09,072 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@12de3aff] on IDLE CHECK.
2023-07-27 11:23:09,079 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@267c61ad] on IDLE CHECK has SUCCEEDED.
2023-07-27 11:23:09,080 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@12de3aff] on IDLE CHECK has SUCCEEDED.
2023-07-27 11:23:09,080 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@647ad7ac] on IDLE CHECK.
2023-07-27 11:23:09,080 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@7577bba2] on IDLE CHECK.
2023-07-27 11:23:09,080 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#0] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@647ad7ac] on IDLE CHECK has SUCCEEDED.
2023-07-27 11:23:09,074 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#2] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@43e7778d] on IDLE CHECK has SUCCEEDED.
2023-07-27 11:23:09,080 DEBUG [C3P0PooledConnectionPoolManager[identityToken->1hgf02xax15scu3p58pz02|1b9ea74d]-HelperThread-#1] c.m.v.c.i.C3P0PooledConnectionPool [Slf4jMLog.java:204] - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@7577bba2] on IDLE CHECK has SUCCEEDED.
